Date,LogPNL,NAV,Drawdown,ExpCut
2010-09-24,0.009868604995808994,131134.67759743892,0.0,1.0
2010-09-27,0.00028997005197162196,131172.7082403244,0.0,1.0
2010-09-28,-0.0007107951092670817,131079.5044491614,-0.000710542554265392,1.0
2010-09-29,-0.0021382503752658266,130799.52309138057,-0.0028449908060150797,1.0
2010-09-30,-0.0010860987725997973,130657.53900822077,-0.003927411723174679,1.0
2010-10-01,0.001213623555585741,130816.20433579088,-0.0027178207213680583,1.0
2010-10-04,-0.0007568170085150427,130717.23786183933,-0.0034722953013258673,1.0
2010-10-05,0.0073869477668129235,131686.41449163313,0.0,1.0
2010-10-06,0.0033546361803438174,132128.91630346293,0.0,1.0
2010-10-07,0.00037498472181241027,132178.47191910504,0.0,1.0
2010-10-08,0.005570278083312452,132916.79719380784,0.0,1.0
2010-10-11,0.0017953412478064479,133155.64254263465,0.0,1.0
2010-10-12,0.005567608249415379,133899.06862870735,0.0,1.0
2010-10-13,0.0011016488642638933,134046.6596674115,0.0,1.0
2010-10-14,-0.0020119048570643727,133777.24165433622,-0.002009882333090185,1.0
2010-10-15,0.001690534230414542,134003.58792976025,-0.00032131899264120634,1.0
2010-10-18,0.00343810273344225,134465.09893823307,0.0,1.0
2010-10-19,8.004584815779481e-05,134475.86274191833,0.0,1.0
2010-10-20,0.00044317891650447194,134535.4728170529,0.0,1.0
2010-10-21,0.000624773230152087,134619.55324183914,0.0,1.0
2010-10-22,0.0006189336783339883,134702.8996073784,0.0,1.0
2010-10-25,-0.0008161458603836991,134593.0072436809,-0.0008158129039375073,1.0
2010-10-26,-0.0026897837157724425,134231.4676142203,-0.00349979098098252,1.0
2010-10-27,-0.002280946439154441,133925.6417449507,-0.005770164300049951,1.0
2010-10-28,-0.005352454919349547,133210.7257695187,-0.011077518317786583,1.0
2010-10-29,-0.0012944705532795808,133038.39996703074,-0.012356821161231268,1.0
2010-11-01,0.00125572173980526,133205.5641119578,-0.011115837148160335,1.0
2010-11-02,0.002473929182441381,133535.5132113478,-0.008666379116063716,1.0
2010-11-03,0.006291219918875157,134378.2626734134,-0.00241002186969419,1.0
2010-11-04,0.01072112514626511,135826.69940632477,0.0,1.0
2010-11-05,0.0037355946680541763,136335.04178980947,0.0,1.0
2010-11-08,0.0014080250284713713,136527.14014881913,0.0,1.0
2010-11-09,0.0014030473021469092,136718.82862703028,0.0,1.0
2010-11-10,0.0027639703108013336,137097.23812568682,0.0,1.0
2010-11-11,0.0007162748756552872,137195.47261012462,0.0,1.0
2010-11-12,-0.0026514556456573857,136832.18673074333,-0.0026479436417968794,1.0
2010-11-15,-0.0021819797632138815,136533.94716301866,-0.004821773157091314,1.0
2010-11-16,-0.0024621523339334317,136198.1932945526,-0.0072690395433532284,1.0
2010-11-17,0.0012334396950866022,136366.28919933055,-0.0060438103023297,1.0
2010-11-18,0.008433585993167014,137521.20923926312,0.0,1.0
2010-11-19,0.003006810168634466,137935.3316914032,0.0,1.0
2010-11-22,0.00892760056923425,139172.27649612457,0.0,1.0
2010-11-23,-0.0024568895074175146,138830.7652897165,-0.0024538738246303593,1.0
2010-11-24,0.007974561068488484,139942.305839132,0.0,1.0
2010-11-26,-0.0056337092131606425,139156.12820884679,-0.005617869632568051,1.0
2010-11-29,-0.004620760106628374,138514.60442822642,-0.010202071506144494,1.0
2010-11-30,-0.0060163907691546115,137683.7483244517,-0.016139204661073436,1.0
2010-12-01,-0.0031958488191179413,137244.4342445583,-0.019278456063708038,1.0
2010-12-02,0.0064916912230001955,138138.2808828954,-0.012891205024950558,1.0
